graph,type,path,n,arcs,edges,directed,step,name,formula,bits,bits per edge,redundancy,saved vs previous (%),saved vs (0) (%),saved vs (2) (%),H part,stored arcs,tree edges,components
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",903115.1887146342,10.23545559211454,o(m) + o(n),4.914253887080267,58.767850663025456,,871382.2302030033,84196.0,4038.0,"[[""H(G-T) - entropy of what is left"", 871382.2302030033, ""84196 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 23654.958511630866, """"], [""2n - LOUDS"", 8078, ""2 x 4039""]]"
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",923228.4918064608,10.463409703815543,o(m) + o(n),-2.2271027376311814,57.84956833635752,2.796596632302395,891495.5332948299,84196.0,4038.0,"[[""H(G-T) - entropy of what is left"", 891495.5332948299, ""84196 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 23654.958511630866, """"], [""2n - LOUDS"", 8078, ""2 x 4039""]]"
facebook_combined,undirected,Datasets/TestSet/Undirected/facebook_combined.txt,4039,176468,88234,False,4,"Twin removal, then TREX","H(G0-T0) + lg C(n0+m0', n0) + 2n0 + lg C(N, n0)",902499.8340664268,10.22848147048107,o(m) + o(n) + o(N),0.0681368950380734,58.79594496934113,,870726.8119963574,84142.0,3956.0,"[[""H(G0-T0) - entropy after contraction"", 870726.8119963574, ""84142 residual arcs, n0 = 3957""], [""lg C(n0+m0', n0)"", 23285.398463969887, """"], [""2n0 - LOUDS"", 7914, ""2 x 3957""], [""lg C(N, n0) - the class sizes in B"", 573.6236060993582, ""82 twins removed""]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),6299968.0,31.800353339054062,,,0.0,,0.0,396220.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 5943300, ""396220 x 15""], [""n*ceil(lg m) - one offset per vertex"", 356668, ""18772 x 19""]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",6053595.712259685,30.556739751954392,o(m),3.910691097801056,3.910691097801056,,0.0,396220.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 5943300, ""396220 x 15""], [""lg C(n+m, n) - the separator bitvector"", 110295.71225968453, ""C(414992, 18772)""]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,1u,Wavelet tree: each edge stored once,"m'*ceil(lg n) + lg C(n+m', n),  m' = |E|",3063786.481182267,15.46507738722057,o(m),49.38898091629219,51.36822153410514,,0.0,198110.0,0.0,"[[""m'*ceil(lg n) - each edge stored once"", 2971650, ""198110 x 15""], [""lg C(n+m', n)"", 92136.481182267, ""C(216882, 18772)""]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",2524603.7260300005,12.743444177628591,o(m),17.598574785283482,59.92672143683904,,2432467.244847733,198110.0,0.0,"[[""H(G) - in-degree entropy of the string"", 2432467.2448477335, ""sum d lg(m/d) over 198110 arcs""], [""lg C(n+m, n) - the separator bitvector"", 92136.481182267, """"]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",2275421.8987721624,11.485648875736524,o(m) + o(n),9.870136239150783,63.88200862651743,,2148269.839767775,179628.0,18482.0,"[[""H(G-T) - entropy of what is left"", 2148269.839767775, ""179628 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 89608.05900438756, """"], [""2n - LOUDS"", 37544, ""2 x 18772""]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",2338849.7559294268,11.805813719294466,o(m) + o(n),-2.787520731495574,62.87521212918181,7.357747601548392,2211697.6969250394,179628.0,18482.0,"[[""H(G-T) - entropy of what is left"", 2211697.6969250394, ""179628 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 89608.05900438756, """"], [""2n - LOUDS"", 37544, ""2 x 18772""]]"
CA-AstroPh,undirected,Datasets/TestSet/Undirected/CA-AstroPh.txt,18772,396220,198110,False,4,"Twin removal, then TREX","H(G0-T0) + lg C(n0+m0', n0) + 2n0 + lg C(N, n0)",2273677.659408876,11.476844477355389,o(m) + o(n) + o(N),0.0766556463321133,63.90969510624696,,2145972.807685601,179460.0,18206.0,"[[""H(G0-T0) - entropy after contraction"", 2145972.8076856015, ""179460 residual arcs, n0 = 18496""], [""lg C(n0+m0', n0)"", 88642.7547046612, """"], [""2n0 - LOUDS"", 36992, ""2 x 18496""], [""lg C(N, n0) - the class sizes in B"", 2070.097018613655, ""276 twins removed""]]"
